index,eligible,ground_truth_eligible,witness_time_ms,generate_time_ms,verify_time_ms,verified,jurisdiction,jurisdiction_name,failed_flags
695,true,true,234,250,16,true,4,Rajasthan,""
696,true,true,224,238,13,true,5,Chandigarh,""
697,true,true,223,237,14,true,2,Telangana,""
698,true,true,228,242,13,true,7,Gujarat,""
699,true,true,205,219,13,true,1,Karnataka,""
700,true,true,212,225,12,true,6,Uttar_Pradesh,""
701,false,false,29,30,0,false,5,Chandigarh,"encumbrance_free;tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
702,false,false,33,34,0,false,1,Karnataka,"kyc_pass;tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
703,true,true,221,240,18,true,7,Gujarat,""
704,true,true,202,215,13,true,2,Telangana,""
705,false,false,28,28,0,false,6,Uttar_Pradesh,"kyc_pass;tax_paid;zoning_compliant;jurisdiction_mismatch"
706,true,true,207,221,13,true,0,Delhi,""
707,false,false,28,28,0,false,1,Karnataka,"kyc_pass;jurisdiction_eligible;jurisdiction_mismatch"
708,true,true,198,213,15,true,2,Telangana,""
709,true,true,236,249,13,true,4,Rajasthan,""
710,true,true,213,227,14,true,1,Karnataka,""
711,true,true,213,229,15,true,6,Uttar_Pradesh,""
712,true,true,228,243,15,true,4,Rajasthan,""
713,false,false,35,36,0,false,0,Delhi,"kyc_pass;title_valid;registry_verified;encumbrance_free;jurisdiction_mismatch"
714,false,false,32,32,0,false,3,Maharashtra,"title_valid;jurisdiction_mismatch"
715,false,false,30,31,0,false,0,Delhi,"registry_verified;mutation_complete;encumbrance_free;jurisdiction_mismatch"
716,false,false,32,33,0,false,5,Chandigarh,"kyc_pass;title_valid;registry_verified;jurisdiction_mismatch"
717,true,true,236,252,15,true,5,Chandigarh,""
718,true,true,247,261,14,true,4,Rajasthan,""
719,true,true,202,215,12,true,1,Karnataka,""
720,false,false,39,40,0,false,6,Uttar_Pradesh,"kyc_pass;jurisdiction_mismatch"
721,true,true,227,241,13,true,2,Telangana,""
722,true,true,222,236,14,true,7,Gujarat,""
723,false,false,34,34,0,false,4,Rajasthan,"kyc_pass;mutation_complete;encumbrance_free;tax_paid;jurisdiction_mismatch"
724,true,true,208,222,13,true,3,Maharashtra,""
725,true,true,224,238,13,true,7,Gujarat,""
726,false,false,31,32,0,false,2,Telangana,"kyc_pass;title_valid;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
727,true,true,239,253,13,true,3,Maharashtra,""
728,true,true,224,245,20,true,4,Rajasthan,""
729,true,true,202,214,12,true,1,Karnataka,""
730,true,true,229,243,13,true,5,Chandigarh,""
731,true,true,210,223,13,true,5,Chandigarh,""
732,true,true,208,222,14,true,2,Telangana,""
733,false,false,30,31,0,false,4,Rajasthan,"kyc_pass;title_valid;jurisdiction_eligible;jurisdiction_mismatch"
734,true,true,212,229,16,true,7,Gujarat,""
735,true,true,231,243,12,true,4,Rajasthan,""
736,true,true,196,210,13,true,0,Delhi,""
737,true,true,212,226,13,true,0,Delhi,""
738,true,true,217,235,17,true,7,Gujarat,""
739,true,true,241,255,13,true,5,Chandigarh,""
740,true,true,232,246,14,true,7,Gujarat,""
